a-nagoya	23
aic	23
aichi	23
aici	23
aizu	07
akatsuka	
aki	05
akit	05
akita	05
akitaa	05
aksh	28
akt	05
akta	05
aom	02
aomori	02
aomoria	02
aomr	02
asahikawa	01
asaka	11
ashikaga	09
ashk	01
askg	09
atgi	14
atsugi	14
beppu	44
chb	12
chba	12
chfu	13
chib	12
chiba	12
chitose	01
chofu	13
choushi	12
ctse	01
d-kobe	28
d-nagoya	23
d-osaka	27
ebina	14
ehim	38
ehime	38
ehimea	38
ehm	38
fchu	13
fjnm	22
fjsw	14
fkcy	26
fki	18
fkk	40
fko	40
fkok	40
fks	07
fksm	07
fkui	18
fkym	34
fnbs	12
fuchu	13
fuji	22
fujisawa	14
fujiyoshida	22
fuki	18
fuku	40
fukuchiyama	26
fukui	18
fukuia	18
fukuoka	40
fukuokaa	40
fukushima	07
fukushimaa	07
fukusima	07
fukuyama	34
funabashi	12
funabasi	12
gif	21
gifu	21
gnm	10
gunm	10
gunma	10
hachinohe	02
hachioji	13
hachiouji	13
haci	13
hakata	40
hakodate	01
hamamatsu	22
handa	23
hann	11
hanno	11
hashimoto	30
hcnh	02
hcou	13
hgsh	34
hgsm	11
hhrs	34
higashi-matsuyama	11
higashimatsuyama	11
hikn	25
himeji	28
himj	28
hino	13
hirakata	27
hiratsuka	14
hirosaki	02
hiroshima	34
hiroshimaa	34
hirosima	34
hitachi	08
hitachiota	08
hkd	01
hkdt	01
hkid	01
hkne	25
hmji	28
hmmt	22
hmty	11
hnda	23
hnjo	11
hnnu	11
hokkaido	01
hokkaidoa	01
honjo	11
hrs	34
hrsk	02
hrsm	34
hrtk	14
htch	08
hyg	28
hyog	28
hyogo	28
iba	08
ibaragi	08
ibaraki	08
ibrk	27
ibr	08
ichihara	12
ichikawa	12
ichinomiya	23
ichr	12
ickw	12
icnm	23
iida	20
ikda	27
iked	27
ikeda	27
imbr	38
ina-	20
ingi	13
ise-	24
isesaki	10
isex	24
ishikawa	17
ishioka	08
isk	17
ismk	04
isnm	04
isok	08
iszk	10
itak	08
itako	08
itami	28
ito	22
itox	22
iwa	03
iwade	03
iwak	07
iwaki	07
iwata	22
iwate	03
iwat	03
iwki	07
iwkn	35
iwta	22
izmi	27
izms	27
izum	32
izumi	27
izumo	32
joetsu	15
jyouetsu	15
k-fujisawa	14
k-tokyo	13
kagawa	37
kagoshima	46
kakogawa	28
kakokawa	28
kanagawa	14
kanagawashinmachi	
kanazawa	17
kani	21
kariya	23
kary	23
kasai	28
kashiwa	12
kashiwazaki	15
kasugai	23
kasw	12
kawagoe	11
kawaguchi	11
kawasaki	14
kawasakibekkan	14
kbe	28
kch	39
kgci	11
kgs	46
kgsm	46
kgw	37
kichijoji	13
kiryu	10
kisarazu	12
kishiwada	27
kishiwada-kaizuka	27
kitakyushu	40
kitakyusyu	40
kitk	40
kkeg	22
kkgw	28
kkog	28
kmgy	11
kmm	43
kmmt	43
kmok	26
kng	14
kngw	14
knzw	17
kob	28
kobe	28
koc	39
kochi	39
koci	39
kodaira	13
kofu	19
koga	08
koganei	13
kokubunji	13
kooriyama	07
koriyama	07
koshigaya	11
kouchi	39
koufu	19
krme	40
krsk	33
krya	23
krym	07
kryu	10
ksgi	23
ksgy	11
ksma	08
ksro	01
ksrz	12
kswa	12
kswd	27
ktks	40
ktmi	01
kufu	19
kuki	11
kumagaya	11
kumamoto	43
kumamotoa	43
kunitachi	13
kurashiki	33
kure	34
kurm	40
kurume	40
kushiro	01
kusr	01
kuwana	24
kwgc	11
kwge	11
kwgw	11
kwna	24
kwsk	14
kyot	26
kyoto	26
kyt	26
kyto	26
m-hiroshima	34
m-yokohama	14
ma-shizuoka	22
machida	13
maebashi	10
makuhari	12
marugame	37
matsudo	12
matsue	32
matsumoto	20
matsuyama	38
matumoto	20
mbra	12
mcda	13
mebs	10
mi-shizuoka	22
mie	24
mie-	24
miki	28
minamiosaka	
minokamo	21
mitaka	13
mito	08
miyagi	04
miyagia	04
miyazaki	45
miyazakia	45
miyg	04
mnkc	25
mnkm	21
mobara	12
mobr	12
morioka	03
mrgm	37
mrok	03
mrrn	01
mtak	13
mtdo	12
mtki	08
mtmt	20
mtue	32
mtym	38
mtzk	24
muroran	01
musashino	13
musashino-mitaka	13
myg	04
myz	45
myzk	45
n-nishinomiya	28
n-osaka	27
n-yokohama	14
nagano	20
naganoa	20
nagaoka	15
nagasaki	42
nagasakia	42
nagoya	23
nah	47
naha	47
nara	29
narita	12
nbok	45
nbri	24
neyagawa	27
nghm	25
ngn	20
ngno	20
ngok	15
ngs	42
ngsk	42
ngya	23
nig	15
nigata	15
nigt	15
nihm	38
nihonbashi	13
niigata	15
niigataa	15
niihama	38
nishinomiya	28
nishitokyo	13
nmzu	22
nobeoka	45
nra	29
nrit	12
nrta	12
nsnm	28
numazu	22
numz	22
nygw	27
o-ichikawa	12
obhr	01
obihiro	01
